Time,Oak,Pine,Grass,Arid,Rabbit,Wolf
1,25604,6422,3228,1741,800,20
25,26703,6895,3707,2007,803,20
49,27876,7306,4238,2262,803,20
73,29063,7735,4647,2488,799,20
97,30140,8172,5126,2707,798,20
121,31163,8581,5601,2969,783,20
145,32176,8935,6087,3253,778,20
169,33162,9291,6519,3531,778,20
193,34072,9598,6844,3835,778,20
217,34928,9856,7157,4143,758,20
241,35662,10065,7450,4420,758,20
265,36363,10252,7745,4721,758,20
289,36978,10386,7992,5024,753,20
313,37556,10498,8223,5313,738,20
337,38096,10593,8420,5623,738,20
361,38575,10674,8591,5901,734,20
385,39050,10727,8741,6156,733,20
409,39394,10773,8867,6462,718,20
433,39776,10806,8955,6785,713,20
457,40099,10820,9065,7089,713,20
481,40401,10835,9126,7333,713,20
505,40677,10847,9165,7611,696,20
529,40942,10858,9189,7851,692,22
553,41144,10872,9215,8056,692,22
577,41362,10895,9225,8305,687,22
601,41578,10887,9235,8548,679,22
625,41767,10894,9266,8780,670,22
649,41905,10891,9291,8986,665,22
673,42047,10900,9281,9186,664,22
697,42196,10887,9308,9381,663,22
721,42334,10883,9302,9547,643,26
745,42448,10875,9303,9703,641,26
769,42541,10885,9267,9833,641,26
793,42658,10874,9234,9960,632,26
817,42774,10858,9223,10108,616,26
841,42874,10847,9195,10241,614,26
865,42965,10852,9185,10314,610,26
889,43055,10859,9173,10417,604,26
913,43120,10852,9147,10498,585,26
937,43216,10852,9117,10591,584,26
961,43261,10846,9073,10656,578,26
985,43307,10834,9050,10750,574,26
1009,43377,10833,9029,10835,562,26
1033,43439,10832,9005,10888,554,26
1057,43491,10833,8977,10957,549,26
1081,43528,10836,8958,11017,548,26
1105,43553,10833,8951,11043,533,26
1129,43587,10840,8903,11063,525,26
1153,43642,10848,8891,11112,523,26
1177,43668,10850,8854,11141,519,26
1201,43720,10856,8830,11142,515,26
1225,43747,10859,8779,11155,499,30
1249,43809,10858,8756,11163,495,30
1273,43838,10855,8716,11145,490,30
1297,43881,10852,8708,11161,481,30
1321,43931,10850,8671,11204,464,30
1345,43968,10854,8628,11224,463,30
1369,44016,10853,8604,11205,453,30
1393,44057,10851,8548,11219,449,30
1417,44096,10857,8503,11190,434,30
1441,44141,10857,8462,11233,429,30
1465,44179,10859,8439,11240,422,30
1489,44219,10861,8406,11225,419,30
1513,44257,10857,8369,11216,407,30
1537,44281,10845,8367,11209,396,30
1561,44329,10852,8368,11171,393,30
1585,44367,10853,8325,11161,391,30
1609,44418,10852,8300,11155,376,30
1633,44455,10853,8273,11155,367,34
1657,44486,10854,8272,11187,366,32
1681,44516,10848,8236,11199,361,30
1705,44557,10846,8206,11218,352,30
1729,44586,10840,8186,11236,340,35
1753,44631,10831,8164,11257,334,34
1777,44661,10836,8161,11252,329,34
1801,44682,10820,8178,11232,321,33
1825,44702,10818,8145,11243,308,33
1849,44724,10817,8105,11231,304,33
1873,44739,10823,8081,11237,299,33
1897,44769,10814,8050,11258,296,29
1921,44792,10819,8043,11263,280,29
1945,44809,10825,8004,11261,276,28
1969,44829,10828,7982,11251,272,27
1993,44844,10826,7962,11250,267,27
2017,44880,10828,7918,11280,253,27
2041,44896,10834,7893,11249,251,27
2065,44922,10837,7873,11247,248,25
2089,44957,10830,7854,11249,243,23
2113,44984,10827,7813,11251,231,23
2137,45016,10824,7799,11236,227,21
2161,45041,10828,7788,11230,225,21
2185,45069,10833,7762,11222,219,21
2209,45097,10837,7745,11212,213,21
2233,45124,10838,7717,11216,206,21
2257,45153,10838,7689,11213,203,21
2281,45184,10833,7671,11222,201,21
2305,45195,10838,7660,11222,192,20
2329,45233,10846,7647,11245,188,20
2353,45267,10848,7599,11245,188,19
2377,45278,10850,7576,11255,185,18
2401,45287,10855,7535,11240,183,18
2425,45319,10855,7510,11214,176,17
2449,45346,10852,7507,11251,174,17
2473,45372,10855,7452,11245,171,13
2497,45393,10855,7422,11240,171,13
2521,45427,10852,7415,11234,166,12
2545,45443,10840,7390,11229,163,12
2569,45454,10843,7385,11224,161,12
2593,45481,10847,7371,11237,160,11
2617,45512,10852,7376,11222,153,13
2641,45531,10856,7344,11252,150,13
2665,45557,10853,7328,11253,150,13
2689,45571,10856,7314,11256,146,13
2713,45592,10860,7292,11237,142,13
2737,45612,10858,7252,11217,141,13
2761,45631,10860,7247,11226,138,12
2785,45656,10861,7230,11216,135,12
2809,45658,10860,7202,11212,135,12
2833,45683,10860,7192,11202,132,11
2857,45696,10866,7163,11184,130,9
2881,45732,10865,7142,11181,129,12
2905,45776,10857,7128,11176,123,12
2929,45795,10861,7120,11169,119,12
2953,45808,10872,7100,11186,118,11
2977,45828,10874,7085,11175,114,11
3001,45842,10878,7087,11157,113,11
3025,45861,10879,7052,11182,109,10
3049,45887,10879,7019,11193,108,10
3073,45921,10879,6999,11177,106,9
3097,45936,10875,6982,11161,106,9
3121,45953,10874,6958,11173,103,9
3145,45967,10880,6940,11170,99,8
3169,45976,10878,6921,11132,99,8
3193,46000,10880,6917,11105,98,8
3217,46026,10879,6908,11093,93,8
3241,46067,10879,6888,11097,92,8
3265,46095,10882,6863,11130,92,8
3289,46094,10887,6852,11141,91,8
3313,46107,10878,6823,11150,87,7
3337,46138,10876,6798,11139,86,6
3361,46157,10875,6797,11132,86,6
3385,46185,10868,6775,11144,84,6
3409,46224,10868,6754,11146,83,6
3433,46271,10868,6753,11117,81,6
3457,46289,10877,6742,11119,80,6
3481,46300,10876,6716,11114,80,5
3505,46304,10873,6675,11119,79,5
3529,46317,10877,6652,11114,76,4
3553,46316,10885,6627,11112,76,4
3577,46340,10887,6623,11094,76,4
3601,46344,10887,6613,11114,75,4
3625,46369,10888,6588,11141,72,4
3649,46411,10887,6578,11137,72,4
3673,46415,10883,6542,11136,72,4
3697,46437,10892,6529,11146,72,4
3721,46455,10888,6504,11188,71,4
3745,46460,10892,6468,11185,71,4
3769,46497,10899,6470,11171,71,3
3793,46513,10895,6440,11139,71,3
3817,46547,10900,6426,11149,71,3
3841,46555,10895,6411,11132,70,3
3865,46565,10901,6379,11141,70,1
3889,46581,10905,6374,11124,70,1
3913,46581,10910,6369,11112,69,1
3937,46620,10903,6358,11092,69,1
3961,46638,10906,6350,11118,69,1
3985,46652,10911,6370,11122,69,1
4009,46673,10910,6345,11125,68,1
4033,46689,10908,6315,11102,68,1
4057,46704,10905,6299,11097,68,1
4081,46712,10901,6284,11089,68,1
4105,46730,10910,6260,11096,68,1
4129,46751,10912,6247,11072,67,1
4153,46774,10913,6231,11077,67,1
4177,46770,10914,6221,11084,67,1
4201,46787,10917,6209,11098,67,1
4225,46788,10907,6207,11123,66,1
4249,46797,10918,6192,11100,66,1
4273,46812,10920,6167,11076,66,1
4297,46842,10924,6151,11040,66,1
4321,46864,10924,6134,11015,66,1
